Эм барааны нэр,Ангилал
Идеос заж/ш N30,Импорт
Идэвхижүүлсэн нүүрс шахм 250мг N10,Импорт
Иммун актив + Д3 нунтаг N20 /Denk/,Импорт
Иммун актив нунт 40гр N20,Импорт
Иммунал шахм 80мг N20,Импорт
Иммуновис плюс кидс сироп 150мл N1,Импорт
Иммуновис плюс кидс шахм N60,Импорт
Иммуновис плюс шахм N30,Импорт
Иноклим капс N30,Импорт
Инсти Без сахар мөхл N5,Импорт
Инсти Кидс мөхл N5,Импорт
Инсти Лимон мөхл N5,Импорт
Инсти мөхл N5,Импорт
Интеллан капс N20,Импорт
Интеллан сироп 90мл,Импорт
Инфлюцид А шахмал N40,Импорт
Инфулган 100мл,Импорт
Йодомарин 100мкг шахмал N100 /Berlin Chemie/,Импорт
Кавинтон т/уусм 5мг/мл 2мл N10,Импорт
Кавинтон Форте шахм 10мг N30,Импорт
Кавинтон шахм 5мг N50,Импорт
Кальцемин Адванс шахм N120,Импорт
Кальцемин Адванс шахм N30,Импорт
Кальцемин Адванс шахм N60,Импорт
Кальцемин Силвер шахм N60,Импорт
Кальцемин сильвер бүрхүүлтэй шахмал №120,Импорт
Кальцемин сильвер бүрхүүлтэй шахмал №30,Импорт
Кальцемин шахм N120,Импорт
Кальцемин шахм N30,Импорт
Кальцемин шахм N60,Импорт
Кальци актив уус/шх 500мг N20,Импорт
Кальци Д Денк уус/шх 1000мг+880 ОУН N20,Импорт
Кальци Д3 Никомед апельсин заж/ш 500мг+200 ОУН N60,Импорт
Кальци хлорид /даль/ т/уусм 10% 10мл N10,Импорт
Кальцивита Форте зөөлөн капсул 600мг №30 /Mega Life/,Импорт
Каптоприл HCT Денк шахм 50/25мг N100,Импорт
Карбамазепин /акр/ шахм 200мг N50,Импорт
Карведи Денк 6.25мг N30,Импорт
Кардиомагнил шахм 75мг N100,Импорт
Кардура шахм 4мг N30,Импорт
Квамател т/уусм 20мг 5мл N5,Импорт
Кверцетин шахмал 500мг N60 Фармавижн,Импорт
Кеналог т/уусм 40мг 1мл N5,Импорт
Кетонал гель 2.5% 50гр,Импорт
Кетонал Дуо капс 150мг N30,Импорт
Кетонал капс 50мг N25,Импорт
Кетонал крем 5% 30гр,Импорт
Кетонал т/уусм 100мг 2мл N10,Импорт
Кетонал Форте шахм 100мг N20,Импорт
Кетонал ш/г/лаа 100мг N12,Импорт
Кларотадин шахм 10мг N10,Импорт
Климаксан хүлх/ш N20,Импорт
Клион Д эм/шх 100мг+100мг N10,Импорт
Клопи Денк б/шахм 75мг N30,Импорт
Клопина шахмал 75мг №30 /Dongkoo Bio/,Импорт
Клотри Денк крем 1% 20гр,Импорт
Клотри Денк эм/шх 100мг N6,Импорт
Кмоксилин хуурай сироп 4:1 156.25мг/5мл-50мл №1 /Chong Kun Dang Pharm/,Импорт
Кмоксилин хуурай сироп 7:1 228мг/5мл-50мл №1 /Chong Kun Dang Pharm/,Импорт
Ко-Амлесса шахм 4мг+10мг+1.25мг N30,Импорт
Ко-Амлесса шахм 8мг+10мг+2.5мг N30,Импорт
"Ко-Диован б/шахм 160мг+12,5мг N14",Импорт
"Ко-Диован б/шахм 80мг/12,5мг N14",Импорт
"Ко-Диротон шахм 10мг + 12,5мг N30",Импорт
"Ко-Диротон шахм 20мг + 12,5 N30",Импорт
Кокарбоксилаза /микро/ тар/у/н 50мг N5,Импорт
Кокарбоксилаза /ферейн/ тар/н/у 50мг N5,Импорт
Колдисепт хамрын цацлага 20мл N1,Импорт
Колдисепт хамрын цацлага 20мл N1 ,Импорт
Колдисепт хоолойн цацлага 20мл N1,Импорт
Колдисепт хоолойн цацлага 20мл N1 ,Импорт
Конкор шахм 10мг N30,Импорт
Конкор шахм 10мг N50,Импорт
Контрактубекс гель 20гр N1,Импорт
"Ко-Пренесса шахм 2мг/0,625мг N30",Импорт
Ко-Пренесса шахм 4мг + 1.25мг N30,Импорт
"Ко-Пренесса шахм 8мг/2,5мг N30",Импорт
Кордиамин т/уусм 2мл N10,Импорт
Креамагнес плас Денк нунт №20,Импорт
Кречек шахмал 10мг №30 /Hanlim Pharm/,Импорт
Кречек шахмал 20мг №30 /Hanlim Pharm/,Импорт
Кристал Вижн нүд/дус 10мл N1,Импорт
Ксолар тар/н 150мг N1,Импорт
Кумданг-2 т/уусм 2мл N8,Импорт
Курантил шахм 25мг N120,Импорт
Лактонатал+DHA шахм N30,Импорт
Лактотун Вагинал баланс үт/кап 350мг N10,Импорт
Лансопрол капсул 30мг N28 /Нобел/,Импорт
"Лансопрол капсул, бүрхүүлтэй 30мг №14 /Nobel/",Импорт
Леваксела б/шахм 500мг N10,Импорт
Леваксела шахм 250мг N10,Импорт
Лево Денк б/шах 500мг N10,Импорт
Левофлокс-Денк д/шин 5мг/мл 100мл N1,Импорт
Лензетто гадуур хэрэглэх цацлага 1.53мг,Импорт
"Летрозол-Денк шахм 2,5мг N30",Импорт
Либексин шахм 100мг N20,Импорт
Либидо леди Денк капс N30,Импорт
Ливер актив Денк капсул №60 50мг+150мг,Импорт
Ливолин Форте капс N30,Импорт
Ливолук сироп 10гр/15мл 100мл,Импорт
Лидокайн /даль/ т/уусм 2% 2мл N10,Импорт
Линекс дусал 8мл N1,Импорт
Линекс капс 12 000 000 КФ нэгж N16,Импорт
Линекс Малыш нунт N20,Импорт
Линекс форте капс N28,Импорт
Линкас Бальзам тос/т 25гр,Импорт
Линкас Без сахар сироп 120мл,Импорт
Линкас Без сахар сироп 90мл,Импорт
Линкас Мед лимон хүлх/ш N16,Импорт
Линкас Ментол хүлх/ш N16,Импорт
Линкас Оранж хүлх/ш N16,Импорт
Линкас Плюс сироп 120мл,Импорт
Линкас сироп 120мл,Импорт
Линкас сироп 90мл,Импорт
Лиотон 1000 гель 50гр N1,Импорт
Лирика шахмал 75мг №56 /Pfizer Manufacturing/,Импорт
Лозар Денк б/шахм 25мг N28,Импорт
Лозар Денк шахм 100мг N28,Импорт
Лозар Денк шахм 50мг N28,Импорт
Лордес бүрхүүлтэй шахмал 5мг N10 /Нобел/,Импорт
Лордес сироп 2.5мг/5мл-150мл N1 /Нобел/,Импорт
Лордестин б/шахм 5мг N30,Импорт
Лориста б/шахм 100мг N28,Импорт
"Лориста Н 100 шахм 100мг/12,5мг N28",Импорт
"Лориста Н шахм 50мг+12,5мг N28",Импорт
Лориста НД шахм 100мг+25мг N28,Импорт
Лориста шахм 25мг N28,Импорт
Лориста шахм 50мг N28,Импорт
Л-Тироксин шахм 100мг N50,Импорт
Л-Тироксин шахм 100мкг N50 Берл,Импорт
Л-Тироксин шахм 50мкг N50,Импорт
Л-Тироксин шахмал 75мкг №50 /Берлин-Хеми/,Импорт
Маалокс заж/ш 400мг N20,Импорт
Магнес актив нунт 300мг N30,Импорт
Магнес директ Денк нунт N30,Импорт
Магнес-Денк капс 150мг N50,Импорт
Макропен шахм 400мг N16,Импорт
Матевер шахм 500мг N30,Импорт
Матевер шахм 750мг N30,Импорт
Мегасэф б/шахм 250мг N10 Нобел,Импорт
Мегасэф б/шахм 250мг N10 Нобел ,Импорт
Мегасэф б/шахм 500мг N20 Нобел,Импорт
Мегасэф тарилгын нунтаг 250мг N1 Нобел,Импорт
Мегасэф тарилгын нунтаг 750мг N1 Нобел,Импорт
Медрол шахм 16мг N50,Импорт
Медрол шахм 4мг N30,Импорт
Мезим капс 10000ОУН N20,Импорт
Мезим капс 25000ОУН N20,Импорт
Мезим форте шахм 10000 ОУН N20,Импорт
Мезим форте шахм N20,Импорт
"Мелбек т/уусм 1,5мл N3",Импорт
Мелбек Форт шахмал 15мг N30 /Nobel/,Импорт
"Мелбек шахм 7,5мг N30",Импорт
Мен актив Денк капс N60,Импорт
Мертенил б/шахм 10мг N30,Импорт
Мертенил б/шахм 20мг N30,Импорт
Метлонг шахм 500мг N10,Импорт
Метоклопрамид тарилгын уусмал 0.5%-2мл N5 /Polpharma S.A/,Импорт
Метоклопрамид шахм 10мг N50,Импорт
Метформин NAP 1гр N60,Импорт
Метформин NAP 500мг N60,Импорт
Метформин Денк шахм 1000мг N30,Импорт
Метформин Денк шахм 500мг N100,Импорт
Метформин Денк шахм 850мг N120,Импорт
Миг /ибупрофен/ 2% 100мл N1,Импорт
Миг /ибупрофен/ 4% 100мл N1,Импорт
Миг шахм 400мг N20,Импорт
"Мидиана б/шахм 3мг/0,03мг N21",Импорт
Мидокалм т/уусм 100мг 1мл N5,Импорт
Мидокалм шахм 150мг N30,Импорт
Мидокалм шахм 50мг N30,Импорт
Микосист капс 100мг N28,Импорт
Микосист капс 150мг N1,Импорт
Микосист капс 50мг N7,Импорт
Микосист капсул 150мг N2 /Гедеон Рихтер ТГ/,Импорт
Мифортик б/шахм 180мг N120,Импорт
Модитен Депо т/уусм 25мг-1мл N5,Импорт
МоксиВижн б/шахм 400мг N7,Импорт
Назол Адванс сп 15мл N1,Импорт
Назол спрей 15мл,Импорт
Наклофен Дуо капс 75мг N20,Импорт
Наклофен т/уусм 75мг 3мл N5,Импорт
Наком шахм 250мг/25мг N100,Импорт
Налгезин б/шахм 275мг N10,Импорт
Налгезин Форте б/шахм 550мг N10,Импорт
Нат С 1000мг N30,Импорт
Натальсид ш/г/лаа 250мг N10,Импорт
Нат-В капс N30,Импорт
НБЛ Глюкозамин 750мг/Хондроитин 600мг шахмал N90 /Nobel/,Импорт
Небилет шахмал 5мг №28 /Берлинхими/,Импорт
Небутамол уусм 1мг/мл - 2мл N10,Импорт
Нейромидин т/уусм 15мг/мл 1мл N10,Импорт
Нейромидин т/уусм 5мг/мл 1мл N10,Импорт
Нейромидин шахм 20мг N50,Импорт
Нейроцитин д/шин 10мг 100мл,Импорт
Нейроцитин д/шин 10мг 200мл N1,Импорт
Никсар 10мг хүүхэд N10 /Берлин-Хеми/,Импорт
Никсар 10мг хүүхэд N30 /Берлин-Хеми/,Импорт
Никсар шахм 20мг N10,Импорт
Никсар шахмал 20мг N30 /Берлин-Хеми/,Импорт
Нимезил нунт 100мг N30,Импорт
Нипертен шахм 10мг N30,Импорт
Нипертен шахм 5мг N30,Импорт
Нистатин шахм 500'000 ЕД N20,Импорт
Нифеди Денк шахм 10мг N100,Импорт
Нифеди Денк шахм 20мг N100,Импорт
